Matrix Name,Non-Zero Elements,Memory Size (MB)
roadNet-PA.mtx,3083796,39.4528
Cube_Coup_dt0.mtx,127206144,1464.0167
mcfe.mtx,24382,0.2820
mac_econ_fwd500.mtx,1273389,15.3605
cant.mtx,4007383,46.0991
west2021.mtx,7353,0.0919
cavity10.mtx,76367,0.8839
cop20k_A.mtx,2624331,30.4954
PR02R.mtx,8185136,94.2859
webbase-1M.mtx,3105536,39.3548
mhd4800a.mtx,102252,1.1885
af_1_k101.mtx,16739943,193.4946
bcsstk17.mtx,428650,4.9474
olafu.mtx,1015156,11.6791
ML_Laplace.mtx,27689972,318.3247
dc1.mtx,766396,9.2164
thermomech_TK.mtx,711558,8.5328
thermal1.mtx,574458,6.8895
af23560.mtx,484256,5.6317
cage4.mtx,49,0.0006
olm1000.mtx,3996,0.0495
rdist2.mtx,56934,0.6638
nlpkkt80.mtx,28704672,332.5516
lung2.mtx,492564,6.0545
amazon0302.mtx,1234877,15.1319
adder_dcop_32.mtx,11246,0.1356
FEM_3D_thermal1.mtx,430740,4.9976
raefsky2.mtx,294276,3.3801
thermal2.mtx,8580313,102.8785
mhda416.mtx,8562,0.0996
